ZIP,15-24,25-44,45-64,65+
ZCTA5 00601,1.1,24.5,42.4,32
ZCTA5 00602,0.7,20.2,44,35.1
ZCTA5 00603,3.4,25.7,36.4,34.5
ZCTA5 00606,0.8,16.9,41.6,40.7
ZCTA5 00610,1.2,22.2,36.1,40.5
ZCTA5 00612,2.6,25.6,36.9,34.8
ZCTA5 00616,0.8,22.7,43.7,32.7
ZCTA5 00617,1.3,31,35.9,31.8
ZCTA5 00622,0.9,16.9,22.6,59.6
ZCTA5 00623,1.4,21.6,39.8,37.3
ZCTA5 00624,2.2,28,41,28.7
ZCTA5 00627,2,26.8,38.4,32.8
ZCTA5 00631,1.9,22.3,27.3,48.5
ZCTA5 00637,0.9,19.5,38.9,40.7
ZCTA5 00638,4.1,24.2,36.9,34.8
ZCTA5 00641,1,19.8,40,39.1
ZCTA5 00646,0.4,28.2,41.2,30.2
ZCTA5 00647,0,13.9,35.9,50.2
ZCTA5 00650,1.6,25.4,40.5,32.6
ZCTA5 00652,3.2,24.5,33.6,38.7
ZCTA5 00653,1,18.4,38.3,42.3
ZCTA5 00656,1.9,26.6,37.7,33.9
ZCTA5 00659,2.7,25.9,41.2,30.3
ZCTA5 00660,1.2,22.2,34.1,42.6
ZCTA5 00662,1.6,26.8,39.6,32
ZCTA5 00664,3,26.1,38.4,32.5
ZCTA5 00667,1.5,15.4,42.5,40.6
ZCTA5 00669,1.9,25.8,41,31.3
ZCTA5 00670,1.9,23.2,37.6,37.3
ZCTA5 00674,2.1,26.2,37.3,34.4
ZCTA5 00676,1.7,28.1,42.1,28.1
ZCTA5 00677,0.4,13.8,42.8,43
ZCTA5 00678,1.5,29.7,36.1,32.8
ZCTA5 00680,6.5,21.7,31.6,40.2
ZCTA5 00682,10.6,21.2,31.7,36.5
ZCTA5 00683,1.9,18.8,36.9,42.4
ZCTA5 00685,1.3,23.8,36.5,38.4
ZCTA5 00687,1.2,29.3,40.3,29.3
ZCTA5 00688,2.7,24.4,41.7,31.3
ZCTA5 00690,1.7,27.4,43.1,27.7
ZCTA5 00692,1.9,29.8,37.6,30.7
ZCTA5 00693,2,24.8,38.5,34.7
ZCTA5 00694,0,0,0,100
ZCTA5 00698,0.4,15.2,43.8,40.6
ZCTA5 00703,0.9,27.5,35.9,35.7
ZCTA5 00704,2.6,33.5,34.3,29.6
ZCTA5 00705,1.8,22.7,40.4,35.1
ZCTA5 00707,0,22.6,34.9,42.5
ZCTA5 00714,1,25.9,38.8,34.3
ZCTA5 00715,1.8,11.9,43.6,42.6
ZCTA5 00716,2.7,22.6,36.2,38.5
ZCTA5 00717,4.4,26.3,29.1,40.2
ZCTA5 00718,1.4,24.9,44.6,29.1
ZCTA5 00719,0.5,18.4,42.8,38.3
ZCTA5 00720,2.9,25.3,39.3,32.6
ZCTA5 00723,1.5,22.1,39.8,36.6
ZCTA5 00725,1.8,25,38.1,35.1
ZCTA5 00727,1.3,28.8,40.2,29.7
ZCTA5 00728,2.2,26.4,36.5,34.9
ZCTA5 00729,0.9,25.9,43.8,29.4
ZCTA5 00730,2.3,27,36.3,34.4
ZCTA5 00731,1.9,22.5,44.8,30.7
ZCTA5 00735,2.2,26,29.6,42.2
ZCTA5 00736,1.6,24.6,38.6,35.1
