,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums:AIDA_WW_CAW_CB_07062021_Getting a pass that allows entry to multiple attractions, sightseeing places, and museums"
0,1
1,1
2,1
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,0
17,1
18,0
19,0
20,0
21,1
22,1
23,1
24,0
25,0
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,1
66,1
67,1
68,0
69,0
70,1
71,0
72,1
73,0
74,1
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,0
100,0
101,1
102,1
103,0
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,1
122,1
123,0
124,1
125,1
126,1
127,1
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,1
137,0
138,1
139,0
140,1
141,1
142,1
143,1
144,0
145,1
146,1
147,1
148,0
149,1
150,0
151,1
152,0
153,0
154,1
155,1
156,0
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,0
165,1
166,1
167,0
168,0
169,1
170,1
171,0
172,0
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,1
181,1
182,0
183,1
184,0
185,0
186,0
187,1
188,0
189,1
190,0
191,1
192,1
193,1
194,0
195,0
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,0
208,1
209,1
210,0
211,1
212,1
213,1
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,0
224,1
225,1
226,0
227,0
228,1
229,1
230,0
231,1
232,1
233,1
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,0
256,1
257,1
258,1
259,1
260,1
261,0
262,1
263,0
264,0
265,1
266,0
267,1
268,1
269,0
270,0
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,0
294,1
295,1
296,1
297,1
298,1
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,1
308,0
309,0
310,0
311,1
312,0
313,1
314,1
315,0
316,1
317,1
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,1
342,0
343,0
344,0
345,1
346,1
347,1
348,1
349,1
350,1
351,0
352,1
353,1
354,1
355,1
356,1
357,1
358,0
359,0
360,0
361,0
362,1
363,0
364,0
365,1
366,0
367,1
368,1
369,0
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,1
383,1
384,1
385,1
386,1
387,0
388,0
389,1
390,1
391,1
392,0
393,1
394,0
395,1
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,0
404,0
405,0
406,1
407,1
408,0
409,1
410,1
411,0
412,1
413,1
414,1
415,0
416,1
417,0
418,0
419,1
420,0
421,0
422,0
423,1
424,1
425,1
426,0
427,0
428,1
429,1
430,0
431,1
432,1
433,1
434,0
435,0
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,0
444,0
445,1
446,0
447,0
448,1
449,0
450,1
451,0
452,0
453,1
454,1
455,1
456,0
457,1
458,0
459,0
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,1
471,0
472,1
473,1
474,1
475,1
476,1
477,0
478,1
479,0
480,0
481,1
482,1
483,1
484,1
485,0
486,1
487,1
488,1
489,1
490,1
491,0
492,1
493,1
494,0
495,0
496,0
497,1
498,0
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,1
507,0
508,1
509,1
510,1
511,0
512,1
513,1
514,0
515,0
516,1
517,1
518,0
519,1
520,0
521,1
522,0
523,0
524,1
525,1
526,1
527,1
528,1
529,0
530,1
531,1
532,1
533,0
534,1
535,0
536,1
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,1
545,0
546,1
547,0
548,0
549,0
550,1
551,1
552,1
553,0
554,1
555,1
556,1
557,0
558,0
559,0
560,1
561,1
562,1
563,1
564,1
565,0
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,0
574,1
575,0
576,1
577,1
578,0
579,1
580,0
581,1
582,1
583,1
584,0
585,0
586,0
587,1
588,1
589,1
590,1
591,0
592,1
593,0
594,1
595,1
596,1
597,1
598,1
599,0
600,0
601,1
602,1
603,0
604,1
605,1
606,1
607,0
608,0
609,1
610,1
611,1
612,0
613,0
614,1
615,0
616,1
617,1
618,1
619,0
620,1
621,0
622,1
623,1
624,0
625,0
626,1
627,1
628,1
629,1
630,1
631,0
632,1
633,1
634,1
635,1
636,0
637,0
638,0
639,0
640,1
641,1
642,0
643,0
644,0
645,0
646,1
647,1
648,0
649,1
650,1
651,1
652,1
653,1
654,1
655,0
656,1
657,0
658,1
659,1
660,1
661,1
662,1
663,0
664,1
665,1
666,1
667,0
668,0
669,1
670,0
671,0
672,1
673,1
674,1
675,0
676,1
677,1
678,0
679,1
680,1
681,0
682,1
683,1
684,0
685,0
686,1
687,1
688,0
689,1
690,0
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,0
703,1
704,0
705,1
706,1
707,0
708,1
709,0
710,0
711,0
712,1
713,0
714,0
715,1
716,0
717,1
718,1
719,1
720,1
721,1
722,0
723,0
724,1
725,0
726,1
727,1
728,1
729,0
730,1
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,1
739,1
740,1
741,0
742,1
743,1
744,0
745,1
746,1
747,1
748,1
749,1
750,1
751,0
752,1
753,1
754,1
755,0
756,0
757,0
758,1
759,0
760,1
761,0
762,1
763,1
764,1
765,0
766,1
767,0
768,1
769,1
770,0
771,1
772,0
773,0
774,1
775,1
776,0
777,1
778,0
779,0
780,1
781,0
782,1
783,1
784,0
785,1
786,0
787,0
788,1
789,0
790,1
791,0
792,0
